id,name,address,category,location,lat,lng,details,reviews
42106,Allen Gardens,"London, United Kingdom",attraction,London,51.52232,-0.069407,http://tour-pedia.org/api/getPlaceDetails?id=42106,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42106
42108,Springfield Park,"Springfield, London, United Kingdom",attraction,London,51.5716,-0.057892,http://tour-pedia.org/api/getPlaceDetails?id=42108,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42108
42116,St Andrew's Square,"Saint Andrew's Square, Surbiton, United Kingdom",attraction,London,51.393236,-0.310588,http://tour-pedia.org/api/getPlaceDetails?id=42116,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42116
42125,Roehampton Club,"Roehampton Lane, London, United Kingdom",attraction,London,51.462831,-0.245819,http://tour-pedia.org/api/getPlaceDetails?id=42125,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42125
42147,Avondale Park,"Walmer Road, London, United Kingdom",attraction,London,51.510427,-0.211648,http://tour-pedia.org/api/getPlaceDetails?id=42147,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42147
42152,Victoria Recreation Ground,United Kingdom,attraction,London,51.388879,-0.315223,http://tour-pedia.org/api/getPlaceDetails?id=42152,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42152
42163,Hogs Back Open Space,United Kingdom,attraction,London,51.60602,-0.408835,http://tour-pedia.org/api/getPlaceDetails?id=42163,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42163
42192,Canbury Gardens,"Kingston upon Thames, United Kingdom",attraction,London,51.417374,-0.306136,http://tour-pedia.org/api/getPlaceDetails?id=42192,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42192
42236,Discovery Planet,"Surrey Quays Shopping Centre, Redriff Road, London, United Kingdom",attraction,London,51.495398,-0.046963,http://tour-pedia.org/api/getPlaceDetails?id=42236,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42236
42239,Canada Square Park,"London, United Kingdom",attraction,London,51.504659,-0.017775,http://tour-pedia.org/api/getPlaceDetails?id=42239,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42239
42254,Colliers Wood Recreation Ground,"London, United Kingdom",attraction,London,51.417856,-0.173451,http://tour-pedia.org/api/getPlaceDetails?id=42254,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42254
42295,Curzon Richmond,"Water Lane, Richmond, United Kingdom",attraction,London,51.459247,-0.306972,http://tour-pedia.org/api/getPlaceDetails?id=42295,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42295
42316,The Matchroom Stadium,"Brisbane Road, London, United Kingdom",attraction,London,51.56019,-0.012714,http://tour-pedia.org/api/getPlaceDetails?id=42316,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42316
42348,Lucas Gardens,"London, United Kingdom",attraction,London,51.472612,-0.082422,http://tour-pedia.org/api/getPlaceDetails?id=42348,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42348
42351,Queens Gardens,"Kentish Way, Bromley, United Kingdom",attraction,London,51.404385,0.017894,http://tour-pedia.org/api/getPlaceDetails?id=42351,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42351
42394,Camden Gardens,"Camden Street, London, United Kingdom",attraction,London,51.542089,-0.141527,http://tour-pedia.org/api/getPlaceDetails?id=42394,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42394
42470,Railway Fields,"381 Green Lanes, London, United Kingdom",attraction,London,51.576592,-0.101318,http://tour-pedia.org/api/getPlaceDetails?id=42470,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42470
42472,Trinity Square Gardens,"London, United Kingdom",attraction,London,51.509705,-0.077291,http://tour-pedia.org/api/getPlaceDetails?id=42472,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42472
42519,Cirque le Soir,"15-21 Ganton Street, London, United Kingdom",attraction,London,51.512949,-0.138897,http://tour-pedia.org/api/getPlaceDetails?id=42519,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42519
42520,Shaftesbury Park Recreation Ground,"Bromley, United Kingdom",attraction,London,51.420787,0.009865,http://tour-pedia.org/api/getPlaceDetails?id=42520,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42520
42521,Raffles,"287 King's Road, London, United Kingdom",attraction,London,51.485377,-0.173752,http://tour-pedia.org/api/getPlaceDetails?id=42521,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42521
42531,Canonbury Square Gardens,"London, United Kingdom",attraction,London,51.543635,-0.100371,http://tour-pedia.org/api/getPlaceDetails?id=42531,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42531
42555,South Norwood Grounds Cricket Ground,"London, United Kingdom",attraction,London,51.40633,-0.076375,http://tour-pedia.org/api/getPlaceDetails?id=42555,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42555
42560,Discover Greenwich Visitor Centre,"London, United Kingdom",attraction,London,51.482841,-0.008663,http://tour-pedia.org/api/getPlaceDetails?id=42560,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42560
42568,Greenwich Park,"London, United Kingdom",attraction,London,51.47691,0.001464,http://tour-pedia.org/api/getPlaceDetails?id=42568,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42568
42602,Warwick Gardens,"London, United Kingdom",attraction,London,51.469498,-0.075632,http://tour-pedia.org/api/getPlaceDetails?id=42602,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42602
42609,Bishop's Park,"London, United Kingdom",attraction,London,51.471571,-0.218487,http://tour-pedia.org/api/getPlaceDetails?id=42609,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42609
42613,Little Heath,United Kingdom,attraction,London,51.581263,0.117447,http://tour-pedia.org/api/getPlaceDetails?id=42613,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42613
42662,Deptford Park,"London, United Kingdom",attraction,London,51.486514,-0.039582,http://tour-pedia.org/api/getPlaceDetails?id=42662,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42662
42763,Battersea Park Children's Zoo,"Battersea Park, Chelsea Embankment, London, United Kingdom",attraction,London,51.481643,-0.157177,http://tour-pedia.org/api/getPlaceDetails?id=42763,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42763
42791,West End Green,"Mill Lane, London, United Kingdom",attraction,London,51.552196,-0.192632,http://tour-pedia.org/api/getPlaceDetails?id=42791,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42791
42793,Waterlow Park,"London, United Kingdom",attraction,London,51.568492,-0.143816,http://tour-pedia.org/api/getPlaceDetails?id=42793,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42793
42853,Saint Chad's Park,"London, United Kingdom",attraction,London,51.574885,0.131726,http://tour-pedia.org/api/getPlaceDetails?id=42853,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42853
42886,Kensington Gardens Square,"London, United Kingdom",attraction,London,51.514033,-0.190065,http://tour-pedia.org/api/getPlaceDetails?id=42886,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42886
42902,Kilburn Grange Park,"London, United Kingdom",attraction,London,51.544086,-0.198191,http://tour-pedia.org/api/getPlaceDetails?id=42902,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=42902
