address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
Stable Yard Rd.,poi,35725,51.503941028518,-0.13861656188965,London,Clarence House,4ac518d2f964a52015a720e3,0,Historic Site,http://tour-pedia.org/api/getPlaceDetails?id=35725,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35725
Lower Thames St.,poi,35731,51.507280046139,-0.078760385513306,London,Tower Millennium Pier,4ac518d2f964a52024a720e3,0,Pier,http://tour-pedia.org/api/getPlaceDetails?id=35731,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35731
Victoria Embankment,poi,35732,51.502159739456,-0.12322222433288,London,Westminster Millennium Pier,4ac518d2f964a52025a720e3,0,Pier,http://tour-pedia.org/api/getPlaceDetails?id=35732,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35732
Sion Road,poi,35735,51.447981004165,-0.32436279834202,London,York House,4ac518d2f964a52029a720e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35735,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35735
Herne Hill,poi,35739,51.449099876917,-0.10664472036722,London,Brockwell Hall,4ac518d2f964a5202da720e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35739,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35739
3-4 Woodhayes Road,poi,35747,51.421062658675,-0.2268672543222,London,Southside House,4ac518d2f964a52037a720e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35747,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35747
66 Portland Pl.,poi,35763,51.521054245486,-0.14488220214844,London,Royal Institute Of British Architects,4ac518d3f964a52062a720e3,0,Art Gallery,http://tour-pedia.org/api/getPlaceDetails?id=35763,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35763
St. James Street,poi,35993,51.488367,-0.22695,London,Charles I Commemoration,4ac518e8f964a52093ab20e3,0,Monument / Landmark,http://tour-pedia.org/api/getPlaceDetails?id=35993,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=35993
Upper St.,poi,36080,51.535364850739,-0.10340452194214,London,Camden Passage,4ac518edf964a520b7ac20e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=36080,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36080
Buckingham Palace Rd,poi,36101,51.495358630747,-0.14456033706665,London,London Victoria Railway Station (VIC),4ac518f6f964a52052af20e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36101,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36101
One Western Gateway,poi,36111,51.508088051633,0.026307106018066,London,ExCeL London,4ac518f7f964a520a3af20e3,0,Convention Center,http://tour-pedia.org/api/getPlaceDetails?id=36111,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36111
52 Upper St.,poi,36112,51.535618174821,-0.105527,London,Business Design Centre,4ac518f7f964a520b4af20e3,0,Convention Center,http://tour-pedia.org/api/getPlaceDetails?id=36112,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36112
8 Bendmore Avenue,poi,36113,51.487018,0.106377,London,Dell Cabs,4ac518f7f964a520b6af20e3,0,Taxi,http://tour-pedia.org/api/getPlaceDetails?id=36113,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36113
Hammersmith Road,poi,36117,51.495652529455,-0.21110057830811,London,Olympia Two,4ac518f7f964a520ccaf20e3,0,Convention Center,http://tour-pedia.org/api/getPlaceDetails?id=36117,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36117
South Ealing Rd.,poi,36149,51.501077626042,-0.3071491420269,London,South Ealing London Underground Station,4ac5b037f964a52067b220e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36149,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36149
City Rd,poi,36154,51.532551810385,-0.10595262050629,London,Angel London Underground Station,4ac643b6f964a52072b320e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36154,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36154
Hammersmith Rd,poi,36161,51.491998699494,-0.22321343421936,London,Hammersmith London Underground Station (District and Piccadilly lines),4ac8b2b4f964a5204cbc20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36161,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36161
Palliser Rd.,poi,36162,51.490318640998,-0.21366477012634,London,Barons Court London Underground Station,4ac8b354f964a5204ebc20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36162,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36162
Seven Sisters Rd.,poi,36163,51.583363275398,-0.072569847106934,London,Seven Sisters London Underground Station,4ac8de4cf964a520f6bc20e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36163,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36163
Caledonian Rd,poi,36168,51.54950208,-0.11779219,London,Caledonian Road London Underground Station,4acbae83f964a520f9c420e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=36168,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36168
Euston Rd,poi,36170,51.528437050375,-0.13402462005615,London,London Euston Railway Station (EUS),4acbc300f964a52058c520e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36170,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36170
Station Approach,poi,36174,51.503132949483,-0.11276006698608,London,London Waterloo Railway Station (WAT),4acd8e7df964a52044cc20e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36174,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36174
Deptford High Street,poi,36186,51.478817095137,-0.026307106018066,London,Deptford Railway Station (DEP),4acda972f964a5208fcc20e3,0,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=36186,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36186
"Tunmarsh Lane, Plaistow",poi,36187,51.5249683,0.034167,London,Tunmarsh Lane,4acda9e5f964a52092cc20e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=36187,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36187
